City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
271,Santa Vitoria,BR,-18.8386,-50.1214,85.33,51,85,4.5,overcast clouds
272,Oum Hadjer,TD,13.2954,19.6966,78.98,14,1,9.08,clear sky
273,Kalat,PK,29.0225,66.5916,40.82,36,0,2.39,clear sky
274,Guerrero Negro,MX,27.9769,-114.0611,75.47,37,0,6.51,clear sky
275,Naze,JP,28.3667,129.4833,59.95,65,100,7.18,overcast clouds
276,Ponta Do Sol,PT,32.6667,-17.1,64.71,67,100,7.14,overcast clouds
277,Iquique,CL,-20.2208,-70.1431,66.24,69,74,6.15,broken clouds
278,Belaya Gora,RU,68.5333,146.4167,-35.93,100,48,1.97,scattered clouds
279,Gladstone,AU,-23.85,151.25,73.33,94,75,6.91,light rain
280,Dunedin,NZ,-45.8742,170.5036,58.51,61,100,4.36,light rain
281,Kargil,IN,34.5667,76.1,14.5,80,28,2.3,scattered clouds
282,Port Keats,AU,-14.25,129.55,80.15,81,93,0.27,overcast clouds
283,Margate,GB,51.3813,1.3862,40.69,74,99,5.01,overcast clouds
284,Saravan,AM,39.7196,45.6483,32.65,85,100,3.33,overcast clouds
285,Ambon,ID,-3.6954,128.1814,77.14,94,20,3.44,few clouds
286,Jumla,NP,29.2747,82.1838,37.27,55,0,4.05,clear sky
287,Augusto Correa,BR,-1.0217,-46.635,79.61,81,100,4.74,overcast clouds
288,Avera,US,33.194,-82.5271,67.51,49,81,9.24,broken clouds
289,Coihaique,CL,-45.5752,-72.0662,57.81,50,75,9.22,broken clouds
290,Mayo,US,38.8876,-76.5119,59.23,61,1,3.0,clear sky
291,Udachnyy,RU,66.4167,112.4,-8.95,99,99,5.99,overcast clouds
292,Seydi,TM,39.4816,62.9137,38.97,57,100,11.81,overcast clouds
293,Amio,PH,9.3571,122.9413,76.1,90,97,3.56,overcast clouds
294,Aksu,CN,41.1231,80.2644,30.09,49,70,0.45,broken clouds
295,Muhos,FI,64.808,25.9931,10.18,98,100,2.59,overcast clouds
296,Talnakh,RU,69.4865,88.3972,2.46,95,100,6.29,overcast clouds
297,High Prairie,CA,55.4334,-116.4858,38.35,83,100,9.37,overcast clouds
298,Bintulu,MY,3.1667,113.0333,77.25,89,100,3.09,moderate rain
299,Loa Janan,ID,-0.583,117.095,73.54,98,100,1.9,overcast clouds
300,Altagracia De Orituco,VE,9.8601,-66.3814,80.47,72,65,6.13,broken clouds
301,Hambantota,LK,6.1241,81.1185,77.27,88,98,8.79,overcast clouds
302,Casas Grandes,MX,30.3667,-107.95,49.84,50,100,7.78,overcast clouds
303,Boyolangu,ID,-8.1181,111.8935,76.41,90,98,3.33,moderate rain
304,Siderno,IT,38.2779,16.302,63.28,90,100,5.26,overcast clouds
305,Flinders,AU,-34.5833,150.8552,63.18,91,100,1.01,light rain
306,Trinidad,BO,-14.8333,-64.9,78.73,92,100,4.88,overcast clouds
307,Padang,ID,-0.9492,100.3543,77.05,82,74,4.65,broken clouds
308,Florence,IT,43.7667,11.25,53.29,95,75,3.44,light intensity drizzle
309,Garowe,SO,8.4054,48.4845,74.71,76,9,14.67,clear sky
310,Kodinsk,RU,58.6881,99.1844,15.15,96,100,3.62,light snow
311,Kanniyakumari,IN,8.0833,77.5667,77.16,87,100,11.52,light rain
312,Samarai,PG,-10.6167,150.6667,83.5,75,93,11.14,overcast clouds
313,Bat Khela,PK,34.6167,71.9714,55.53,33,0,7.2,clear sky
314,Mareeba,AU,-17.0,145.4333,74.44,96,100,1.16,overcast clouds
315,Lorengau,PG,-2.0226,147.2712,81.63,74,87,3.33,overcast clouds
316,Yulara,AU,-25.2406,130.9889,59.86,70,0,16.4,clear sky
317,Vila Franca Do Campo,PT,37.7167,-25.4333,60.19,72,77,18.21,broken clouds
318,Hildesheim,DE,52.1508,9.9511,41.02,88,28,8.23,scattered clouds
319,Paraiso,CR,9.8383,-83.8656,71.96,92,93,3.6,overcast clouds
320,Yaan,NG,7.3833,8.5667,82.83,41,66,1.92,broken clouds
321,Berovo,MK,41.7031,22.8578,37.08,96,76,5.1,broken clouds
322,Mattawa,US,46.7379,-119.9028,47.01,77,100,5.01,overcast clouds
323,Verkhoyansk,RU,67.5447,133.385,-38.02,100,96,1.61,overcast clouds
324,Areosa,PT,41.7178,-8.8571,52.36,72,44,16.62,scattered clouds
325,Keflavik,IS,64.0049,-22.5624,34.23,86,75,14.97,broken clouds
326,Tura,IN,25.5198,90.2201,57.49,68,0,3.36,clear sky
327,Westport,US,41.1415,-73.3579,56.32,44,1,1.99,clear sky
328,Teknaf,BD,20.8624,92.3058,69.98,70,3,6.33,clear sky
329,Honiara,SB,-9.4333,159.95,80.6,79,98,2.82,overcast clouds
330,Port-Gentil,GA,-0.7193,8.7815,80.26,81,92,4.61,overcast clouds
331,Benalla,AU,-36.55,145.9833,60.98,82,100,8.01,overcast clouds
332,Clyde River,CA,70.4692,-68.5914,0.12,99,100,2.75,overcast clouds
333,Ca Mau,VN,9.1769,105.15,73.45,94,100,4.76,overcast clouds
334,Leh,IN,34.1667,77.5833,16.29,73,31,3.85,scattered clouds
335,Salamiyah,SY,35.0113,37.0532,57.04,75,46,4.38,scattered clouds
336,Vardo,NO,70.3705,31.1107,17.58,93,75,11.5,broken clouds
337,Cayenne,GF,4.9333,-52.3333,82.44,83,0,1.01,clear sky
338,Berdigestyakh,RU,62.0989,126.6992,-20.22,100,40,2.89,scattered clouds
339,Hasaki,JP,35.7333,140.8333,39.6,56,0,6.11,clear sky
340,Gemena,CD,3.25,19.7667,73.42,55,10,0.47,clear sky
341,Novosheshminsk,RU,55.0651,51.2338,14.68,97,56,6.8,broken clouds
342,Paamiut,GL,61.994,-49.6678,31.53,99,100,3.58,snow
343,Katsuura,JP,35.1333,140.3,52.2,61,0,7.65,clear sky
344,Rundu,NA,-17.9333,19.7667,74.26,45,29,6.33,scattered clouds
345,Akyab,MM,20.15,92.9,73.36,77,0,5.39,clear sky
346,Vila Do Maio,CV,15.1333,-23.2167,77.79,78,96,14.99,overcast clouds
